,TRACT,P0020001
0,Census Tract,Total:
1,101,1876
2,102,3714
3,201,3953
4,202,4148
5,301,3136
6,302,3072
7,401,5853
8,402,3644
9,502,6986
10,503,2418
11,505,2196
12,506,2895
13,601,3758
14,603,1757
15,604,2591
16,701,4517
17,703,2442
18,704,5312
19,804,3813
20,805,4616
21,806,1972
22,807,2282
23,10103,4697
24,10104,5063
25,10204,3443
26,10205,4906
27,10206,2154
28,10300,5186
29,10403,3179
30,10404,5747
31,10405,6853
32,10408,1438
33,10500,3876
34,10600,3529
35,10701,2543
36,10702,2328
37,10801,2856
38,10802,3058
39,20101,4235
40,20200,3804
41,20301,2166
42,20302,1293
43,20304,1906
44,20305,3633
45,30100,2115
46,30200,1815
47,30301,1385
48,30302,1844
49,30400,4160
50,30500,2715
51,40100,2360
52,40200,1594
53,40300,4525
54,40401,2922
55,40600,3683
56,40801,4036
57,50101,4917
58,50200,5197
59,50300,3258
60,50400,2372
61,50500,2174
62,50600,2074
63,50700,4520
64,50901,4242
65,51000,4317
66,51101,6460
67,51200,3454
68,60101,3673
69,60200,2328
70,60301,3609
71,60400,5195
72,60501,4733
73,60601,2006
74,60602,331
75,60603,1502
76,60604,2803
77,60700,1689
78,60800,4859
79,61000,2416
80,61101,2710
81,61201,2013
82,61202,0
83,61203,2686
84,61204,937
85,70102,3687
86,70103,751
87,70104,2862
88,70201,3990
89,70202,5460
90,70301,2213
91,70302,2090
92,70402,3561
93,70501,2223
94,70502,3393
95,70600,2287
96,70700,2527
97,70801,1056
98,70802,2685
99,70901,1165
100,70902,2300
101,71101,4111
102,71201,3514
103,80100,2900
104,80300,2236
105,80401,3391
106,80500,3288
107,80601,4732
108,80801,4282
109,80900,4376
110,81001,5695
111,81101,1484
112,81102,3165
113,81200,3506
114,81301,2394
115,81302,3080
116,81400,3774
117,81500,2449
118,81700,4141
119,81800,3567
120,81900,3671
121,82000,3195
122,82100,5224
123,90100,5171
124,90200,2412
125,90300,3795
126,90400,4101
127,90600,2450
128,90700,4673
129,90901,3600
130,91001,3255
131,91100,4916
132,91200,3140
133,91300,2626
134,91400,2886
135,91500,4588
136,91600,3200
137,91700,3203
138,91800,3718
139,91900,4278
140,92000,5180
141,92101,6921
142,92200,3602
143,92300,3301
144,92400,6067
145,100100,5722
146,100200,2919
147,100300,3737
148,100400,5068
149,100500,6576
150,100601,5342
151,100603,2172
152,100700,4332
153,100800,5791
154,100900,4148
155,101001,5595
156,101002,5712
157,101101,3522
158,101102,4766
159,110104,2177
160,110105,2120
161,110106,1356
162,110201,2091
163,110301,2500
164,110401,3625
165,110403,4437
166,110501,3302
167,110502,4000
168,110601,2639
169,110607,5276
170,120103,1642
171,120104,2373
172,120105,2492
173,120201,4360
174,120301,5120
175,120400,6006
176,120500,2423
177,120600,2566
178,120700,2139
179,130101,6048
180,130200,4708
181,130300,4496
182,130402,4833
183,130404,3073
184,130406,5639
185,140102,4958
186,140105,3592
187,140106,2178
188,140107,2778
189,140201,2311
190,140202,5824
191,140300,6843
192,140400,7859
193,980101,0
194,980300,113
195,980700,7
196,980900,125
197,981000,11
198,981100,97
199,981201,0
200,981202,6
201,981300,79
202,981501,13
203,981600,2
204,981700,4
205,981800,23
206,981900,0
207,990101,0
