,OFFENSE_CODE,Lat,Long
1,619,42.26922388,-71.12085347
8,619,42.33675016,-71.07662788
9,619,42.31526714,-71.0630687
10,619,42.29110848,-71.06281101
11,619,42.30132851,-71.07870873
13,619,42.35613296,-71.05663451
14,619,42.3335702,-71.04826456
17,542,42.34824818,-71.07360419
23,619,42.31835163,-71.07521669
27,619,42.28536992,-71.17244016
28,617,42.34923356,-71.0732809
30,619,42.33044113,-71.08373481
33,619,42.31748189,-71.06450704
41,522,42.35147715,-71.15143461
48,619,42.31892106,-71.064284
67,619,42.30871575,-71.06039096
70,619,42.36429803,-71.0291726
73,619,42.2921753,-71.17519031
76,614,42.26955726,-71.12179039
79,615,42.26209214,-71.11670964
108,619,42.24260011,-71.13035022
124,619,,
127,619,42.29460762,-71.1203452
136,616,42.33551534,-71.10083207
145,619,42.34803673,-71.14024723
153,619,42.32856401,-71.06835343
155,619,42.30994883,-71.08146033
158,617,42.31779354,-71.04210959
163,617,42.35066171,-71.12850882
174,619,42.2518944,-71.1253531
179,619,,
181,615,42.28945401,-71.0728028
189,617,42.34862382,-71.08277637
190,617,42.35143483,-71.06969334
207,617,42.36484926,-71.05736028
234,617,42.31410481,-71.09291975
237,562,42.35803303,-71.141262
239,617,42.31508518,-71.08508813
243,522,42.38574368,-71.01186957
247,619,42.36549814,-71.05786459
251,617,42.36022674,-71.0659773
254,614,42.27091467,-71.1204163
259,617,42.35892253,-71.05635419
262,616,42.30307413,-71.11081856
265,617,42.34642641,-71.10611411
277,617,42.34255919,-71.06270824
278,619,42.29632282,-71.06356881
283,614,42.3453443,-71.08023887
287,617,42.3413379,-71.0566845
291,619,42.3191711,-71.09192415
309,619,42.31832089,-71.0993481
311,617,42.31832089,-71.0993481
315,619,42.25446462,-71.14180073
334,617,42.2376579,-71.13829126
337,617,42.29404832,-71.06052255
340,615,42.27775018,-71.11938931
346,619,42.33852947,-71.10768028
348,619,42.33511904,-71.0749171
351,619,42.32639844,-71.11152626
362,1300,42.30468252,-71.05627865
383,614,42.30846798,-71.08602454
387,619,42.28516191,-71.04142218
394,617,42.33840144,-71.09939195
397,617,42.335482,-71.07586449
401,616,42.33428841,-71.07239518
405,617,42.34937839,-71.13249037
420,613,42.34621459,-71.08721196
423,619,42.28387658,-71.08099354
428,617,42.34296464,-71.08244713
432,617,42.27741881,-71.13084079
437,619,42.28385993,-71.08599096
448,619,42.24383959,-71.12160124
459,619,42.27478462,-71.09368461
463,617,42.38831841,-71.01600449
467,617,42.27380942,-71.11996035
470,619,42.29036711,-71.05638317
471,619,42.32747759,-71.09509472
472,619,42.32077767,-71.10553808
473,617,42.32077767,-71.10553808
477,522,42.35540113,-71.13090649
489,617,42.34906578,-71.13414695
