Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
62,1.79494116,4254,1707,4254,6138.2535,0.693,1707,1616,91,94.67,5.33,2748,300,6,469,0,513,218,64.6,7.05,0.14,11.02,0,12.06,5.12,3633,621,85.4,14.6,621,3633,2508,249,3,468,0,250,155,14.6,85.4,58.96,5.85,0.07,11,0,5.88,3.64,3675,2513,221,6,399,0,366,170,68.38,6.01,0.16,10.86,0,9.96,4.63,459,3216,2317,186,3,398,0,186,126,12.49,87.51,63.05,5.06,0.08,10.83,0,5.06,3.43,14.5745181
22,0.59937665,3854,1618,3854,16653.6205,0.2314,1618,1541,77,95.24,4.76,2918,276,8,327,2,209,114,75.71,7.16,0.21,8.48,0.05,5.42,2.96,3447,407,89.44,10.56,407,3447,2728,244,5,322,2,70,76,10.56,89.44,70.78,6.33,0.13,8.35,0.05,1.82,1.97,3415,2706,195,6,279,1,144,84,79.24,5.71,0.18,8.17,0.03,4.22,2.46,276,3139,2565,176,4,274,1,56,63,8.08,91.92,75.11,5.15,0.12,8.02,0.03,1.64,1.84,5.708354956
27,0.60163718,3885,1522,3885,16724.5422,0.2323,1522,1480,42,97.24,2.76,2620,330,17,527,1,270,120,67.44,8.49,0.44,13.56,0.03,6.95,3.09,3289,596,84.66,15.34,596,3289,2370,273,12,525,0,50,59,15.34,84.66,61,7.03,0.31,13.51,0,1.29,1.52,3229,2319,219,10,428,1,184,68,71.82,6.78,0.31,13.25,0.03,5.7,2.11,378,2851,2153,189,8,428,0,38,35,11.71,88.29,66.68,5.85,0.25,13.25,0,1.18,1.08,6.94980695
17,0.57230453,2740,1219,2740,12399.9307,0.221,1219,1159,60,95.08,4.92,2150,131,6,298,0,84,71,78.47,4.78,0.22,10.88,0,3.07,2.59,2550,190,93.07,6.93,190,2550,2050,124,0,295,0,24,57,6.93,93.07,74.82,4.53,0,10.77,0,0.88,2.08,2467,1987,111,3,253,0,69,44,80.54,4.5,0.12,10.26,0,2.8,1.78,152,2315,1906,106,0,250,0,18,35,6.16,93.84,77.26,4.3,0,10.13,0,0.73,1.42,6.204379562
36,0.63598762,3142,1346,3142,13795.4023,0.2458,1346,1276,70,94.8,5.2,2472,96,2,453,0,56,63,78.68,3.06,0.06,14.42,0,1.78,2.01,2913,229,92.71,7.29,229,2913,2295,89,2,449,0,30,48,7.29,92.71,73.04,2.83,0.06,14.29,0,0.95,1.53,2832,2266,76,1,399,0,46,44,80.01,2.68,0.04,14.09,0,1.62,1.55,176,2656,2130,72,1,396,0,24,33,6.21,93.79,75.21,2.54,0.04,13.98,0,0.85,1.17,11.45767027
27,0.43104264,5672,2965,5672,34081.0822,0.1664,2965,2877,88,97.03,2.97,4244,144,6,1032,1,117,128,74.82,2.54,0.11,18.19,0.02,2.06,2.26,5385,287,94.94,5.06,287,5385,4089,132,2,1032,1,30,99,5.06,94.94,72.09,2.33,0.04,18.19,0.02,0.53,1.75,5268,3973,136,4,951,1,103,100,75.42,2.58,0.08,18.05,0.02,1.96,1.9,244,5024,3837,125,2,951,1,26,82,4.63,95.37,72.84,2.37,0.04,18.05,0.02,0.49,1.56,4.76022567
29,0.80676457,3648,1543,3648,11711.3115,0.3115,1543,1461,82,94.69,5.31,2863,72,0,544,2,73,94,78.48,1.97,0,14.91,0.05,2,2.58,3459,189,94.82,5.18,189,3459,2734,69,0,543,2,28,83,5.18,94.82,74.95,1.89,0,14.88,0.05,0.77,2.28,3282,2580,72,0,485,2,62,81,78.61,2.19,0,14.78,0.06,1.89,2.47,168,3114,2464,69,0,484,2,23,72,5.12,94.88,75.08,2.1,0,14.75,0.06,0.7,2.19,7.949561404
19,1.19842482,6303,2041,6303,18896.7499,0.4625,2041,1872,169,91.72,8.28,5026,286,8,707,2,107,167,79.74,4.54,0.13,11.22,0.03,1.7,2.65,5857,446,92.92,7.08,446,5857,4719,268,6,704,2,16,142,7.08,92.92,74.87,4.25,0.1,11.17,0.03,0.25,2.25,6218,4969,284,8,689,2,107,159,79.91,4.57,0.13,11.08,0.03,1.72,2.56,442,5776,4665,267,6,686,2,16,134,7.11,92.89,75.02,4.29,0.1,11.03,0.03,0.26,2.16,3.014437569
9,0.13915489,2211,1408,2211,41151.3946,0.0537,1408,1341,67,95.24,4.76,1798,57,3,265,0,37,51,81.32,2.58,0.14,11.99,0,1.67,2.31,2115,96,95.66,4.34,96,2115,1739,55,2,264,0,11,44,4.34,95.66,78.65,2.49,0.09,11.94,0,0.5,1.99,2157,1768,56,3,250,0,33,47,81.97,2.6,0.14,11.59,0,1.53,2.18,90,2067,1710,54,2,249,0,11,41,4.17,95.83,79.28,2.5,0.09,11.54,0,0.51,1.9,4.070556309
34,0.33318826,4985,2726,4985,38750.2819,0.1286,2726,2637,89,96.74,3.26,4057,191,5,541,3,83,105,81.38,3.83,0.1,10.85,0.06,1.66,2.11,4667,318,93.62,6.38,318,4667,3862,168,4,537,3,11,82,6.38,93.62,77.47,3.37,0.08,10.77,0.06,0.22,1.64,4825,3967,182,5,500,3,73,95,82.22,3.77,0.1,10.36,0.06,1.51,1.97,294,4531,3783,161,4,496,3,11,73,6.09,93.91,78.4,3.34,0.08,10.28,0.06,0.23,1.51,6.820461384
