Total Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,Area in Square Kilometers,Population Count,Housing Unit Count,Total Population,Population Density,Total Area (sq miles),Housing Units,Occupied Units,Vacant Units,% Occupied Units,% Vacant Units,% White,% Black ,% American Indian ,% Asian ,% Native Pacific Islander ,% Other ,% Multiracial ,Crime Rate
422,62,75,84,85,22,47,47,1.79494116,4254,1707,4254,6138.2535,0.693,1707,1616,91,94.67,5.33,64.6,7.05,0.14,11.02,0,12.06,5.12,99.20075223
154,14,43,26,38,1,15,17,0.59937665,3854,1618,3854,16653.6205,0.2314,1618,1541,77,95.24,4.76,75.71,7.16,0.21,8.48,0.05,5.42,2.96,39.95848469
336,23,67,36,45,9,67,89,0.60163718,3885,1522,3885,16724.5422,0.2323,1522,1480,42,97.24,2.76,67.44,8.49,0.44,13.56,0.03,6.95,3.09,86.48648649
91,16,24,18,10,2,8,13,0.57230453,2740,1219,2740,12399.9307,0.221,1219,1159,60,95.08,4.92,78.47,4.78,0.22,10.88,0,3.07,2.59,33.21167883
157,27,40,29,40,2,7,12,0.63598762,3142,1346,3142,13795.4023,0.2458,1346,1276,70,94.8,5.2,78.68,3.06,0.06,14.42,0,1.78,2.01,49.96817314
192,37,35,32,42,4,22,20,0.43104264,5672,2965,5672,34081.0822,0.1664,2965,2877,88,97.03,2.97,74.82,2.54,0.11,18.19,0.02,2.06,2.26,33.85049365
268,41,76,55,37,7,24,28,0.80676457,3648,1543,3648,11711.3115,0.3115,1543,1461,82,94.69,5.31,78.48,1.97,0,14.91,0.05,2,2.58,73.46491228
165,25,28,44,31,6,13,18,1.19842482,6303,2041,6303,18896.7499,0.4625,2041,1872,169,91.72,8.28,79.74,4.54,0.13,11.22,0.03,1.7,2.65,26.17801047
93,13,25,22,15,2,6,10,0.13915489,2211,1408,2211,41151.3946,0.0537,1408,1341,67,95.24,4.76,81.32,2.58,0.14,11.99,0,1.67,2.31,42.0624152
282,52,54,61,53,11,25,26,0.33318826,4985,2726,4985,38750.2819,0.1286,2726,2637,89,96.74,3.26,81.38,3.83,0.1,10.85,0.06,1.66,2.11,56.56970913
987,28,53,51,58,105,383,309,0.4950438,3571,1525,3571,18682.879,0.1911,1525,1450,75,95.08,4.92,74.07,2.63,0.06,15.15,0,5.29,2.8,276.3931672
393,47,83,110,60,16,40,37,0.5997763,3974,2035,3974,17160.7319,0.2316,2035,1968,67,96.71,3.29,60.42,11.98,0.35,16.03,0.08,7.22,3.93,98.89280322
259,47,46,55,42,17,35,17,0.23043423,4446,2359,4446,49971.5173,0.089,2359,2294,65,97.24,2.76,72.56,4.45,0.18,16.42,0.09,3.4,2.9,58.25461089
537,92,129,104,86,23,45,58,0.17802038,2791,1418,2791,40605.8674,0.0687,1418,1395,23,98.38,1.62,65.25,3.33,0.11,24.08,0.04,3.55,3.65,192.4041562
365,40,68,71,75,22,61,28,0.23978377,4801,2405,4801,51857.8719,0.0926,2405,2350,55,97.71,2.29,66.84,6.6,0.27,18.31,0.1,4.77,3.1,76.02582795
815,110,200,137,117,36,112,103,0.97747624,8136,3129,8136,21557.7302,0.3774,3129,3011,118,96.23,3.77,61.03,4.41,0.27,19.32,0.04,10.4,4.54,100.1720747
56,10,7,13,13,1,5,7,1.1581896,6584,946,6584,14723.3755,0.4472,946,882,64,93.23,6.77,65.81,6.15,0.15,21.49,0.02,2.02,4.36,8.505467801
